Variable	House	Question																																							
INEQUAL	WVS	"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between. Incomes should be made more equal OR We need larger income differences as incentives."																																							
INDENVIR	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. Industry should do more to protect the environment, even if it leads to lower profits and fewer jobs."																																							
INDRESP	WVS	"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between. People should take more responsibility to provide for themselves OR The government should take more responsibility to ensure that everyone is provided for."																																							
INDTAX	BSA	Do you consider the amount of tax that business and industry have to pay is too high or too low?																																							
INDUST5	BSA	Please say whether you agree or disagree with each of these statements about industry today. Employees need strong trade unions to protect their interests.																																							
INFCNTRL	ICM	Agree/disagree with statement: It is more important for the government to control inflation than to reduce unemployment.																																							
INFVUNE	BES	Please look at this card. Some people feel that getting people back to work should be the government's top priority. These people would put themselves in Box A. Other people feel that keeping prices down should be the government ' s top priority. These people would put themselves in Box K. Any other people have views somewhere in-between. In the first row of boxes please tick whichever box comes closest to your own views about unemployment and inflation.																																							
JOBFRALL	BSA	Please show how much you agree or disagree with each statement. The government should provide a job for everyone who wants one.																																							
JUSTICE	BSA	"All systems of justice make mistakes, but which do you think is worse? To convict an innocent person, or to let a guilty person go free?"																																							
LABINCEQ	BES	Please look at this card. Some people feel that government should make much greater efforts to make people's incomes more equal. These people would put themselves in Box A . Other people feel that government should be much less concerned about how equal people ' s incomes are. These people would put themselves in Box K. Any other people have views somewhere in-between. In the first row of boxes please tick whichever box comes closest to your own views about redistributing income.																																							
LAWEASY	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: moves to go easier on people who break the law?"																																							
LEFTRIGH	BSA	Derived Variable: Left Right Scale																																							
LEGCAN	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Smoking cannabis (marijuana) should be legalised.																																							
LIBAUTH	BSA	Derived Variable: Libertarian Authoritarian Scale.																																							
LORDS	BSA	Do you think that the House of Lords should remain as it is or is some change needed? 1) All or most of its members should be appointed 2) All or most of its members should be elected 3) It should contain roughly an equal number of appointed and elected members 4) It should be abolished.																																							
LORDS00	BSA	Which of the statements on this card comes closest to your view about what should happen to the House of Lords.																																							
LORDS2	GALLUP	What are your views about the House of Lords? 1) Leave as it is 2) Keep it but reform 3) Abolish it 4) Don't know.																																							
LRSPBES	BES	"In politics people sometimes talk of left and right. Where would you place yourself on a scale from 0 to 10, where 0 means the left and 10 means the right? "																																							
LRSPBSA	BSA	In politics people sometimes talk of the left and right. Where would you place yourself on a scale from 0 to 10 where 0 means the left and 10 means the right? 																																							
LRSPEB	EUROB	In political matters people talk of 'the left' and 'the right'. How would do you place your views on this scale? 																																							
LRSPESS	ESS	"In politics people sometimes talk of 'left' and 'right'. Using this card, where would you place yourself on this scale, where 0 means the left and 10 means the right?"																																							
LRSPGALL	GALLUP	In political matters people talk of 'the left' and 'the right'. How would do you place your views on this scale? 																																							
LRSPICM	ICM	"When people talk about politics, they sometimes talk about the left, the right and the centre. Where would you put yourself on this scale?"																																							
LRSPWWS	WWS	"In political matters, people talk of the 'left' and 'the right'. How would you place your views on this scale, generally speaking?"																																							
LRSPYGOV	YOUGOV	"Some people talk about 'left', 'right', and 'centre' to describe parties and politicians. Where would you place yourself on this scale?"																																							
MEMBRSHP	EUROB	"Generally speaking, do you think that Britain's membership of the Common Market (European Union) is a good thing, a bad thing or neither good or bad? "																																							
MIDTAX	YOUGOV	"Do you think people on middle incomes pay too much in taxes, too little or about the right amount?"																																							
MODTEACH	BES	Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. For each of these changes you can say whether it has gone too far or not far enough. How do you feel about the change to modern methods in teaching children at schools nowadays?																																							
MODTEACH	GALLUP	Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. For each of these changes you can say whether it has gone too far or not far enough. How do you feel about the change to modern methods in teaching children at schools nowadays?																																							
MONARCHY	BSA	How about the monarchy or the Royal Family in Britain. How important or unimportant do you think it is for Britain to continue to have a monarchy?																																							
MONARCHY2	GALLUP	"Which of these statements comes closest to your own view? 1) The Monarchy and the Royal Family should stay pretty much as they are now 2) The Monarchy and the Royal Family should continue to exist but should become more democratic and approachable, rather like the Monarchy and Royal Family in the Netherlands 3) The Monarch should be abolished and replaced by a non-executive figurehead president like the one they have in some continental countries. "																																							
MONREPRF	MORI	"If there were a referendum on the issue, would you favour Britain becoming a republic or remaining a monarchy?"																																							
MONVSREP	MORI	Would you favour Britain becoming a republic or remaining a monarchy?																																							
MRCHYABO	MORI	"On balance, do you think Britain would be better off or worse off if the monarchy was abolished or do you think it would make no difference? "																																							
MRCHYLUX	MORI	Agree/disagree with statement: The Royal Family is an expensive luxury the country cannot afford.																																							
MRCHYMON	MORI	Agree/disagree with statement: The Royal Familiy should not receive as much money as it does.																																							
MOREWELF	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. The government should spend more money on welfare benefits for the poor, even if it leads to higher taxes."																																							
NATLAND	GALLUP	"Would you approve or disapprove of nationalising land that is intended for building, leaving the remainder in private hands? "																																							
NATNL1	BES	"Just to make sure about your views, are you generally in favour of more nationalisation of companies by government, more privatisation of companies by government or - should things be left as they are now?"																																							
NATNL2	BES	Please look at this card. Some people feel that government should nationalise many more private companies. These people would put themselves in Box A. Other people feel that government should sell off many more nationalised industries. These people would put themselves in Box K. Any other people have views somewhere in-between. In the first row of boxes please tick whichever box comes closest to your own views about nationalisation and privatisation.																																							
NATNL3	GALLUP	"What are your views on nationalisation? Do you think there should be more nationalisation, more denationalisation, or should things be left as they are?"																																							
NATNL4	GALLUP	"Which of these statements comes closest to what you, yourself, feel about nationalisation?"																																							
NATNLSTN	BSA	"Are you generally in favour of more nationalisation of companies by government, more privatisation of companies by government, or should things be left as they are now?"																																							
NATPRIV	BES	"There has been a lot of talk recently about nationalisation, that is, the Government owning and running industries like steel and electricity. Which of these statements on nationalisation comes closest to what you yourself feel should be done ? 1) A lot more industries should be nationalised 2) Only a few more industries should be nationalised 3) No more industries should be nationalised but industries that are now nationalised should stay nationalised 4) Some of the industries that are now nationalised should become private companies."																																							
NATPRIV	BSA	"Some people talk about nationalising industry. Which of these statements on this card comes closest to what you yourself feel should be done? If you don't have an opinion, just say so. 1) A lot more industries should be nationalised 2) Only a few more industries should be nationalised 3) No more industries should be nationalised, but industries that are now nationalised should stay nationalised 4) Some of the industries that are now nationalised should become private companies."																																							
NATPRIV2	GALLUP	"Some industries today are in private hands and some are nationalised, owned by the government. What do you think of the present combination of public and private ownership?"																																							
NATSTEEL	NOP	Do you think the government should or should not nationalise the steel industry?																																							
NATSTEEL2	GALLUP	"Do you approve, or disaprove, of the Government's plan to nationalise the iron and steel industry? "																																							
NEWTECH	BSA	Do you think that the introduction of new technology in Britain over the next five years will c) Please tick one box to show whether you agree or disagree with the following statement: The government should do more to encourage the spread of new tech ...																																							
NHS	GALLUP	"Do you think the government is spending too much, too little, or about the right amount on: Health?"																																							
NHSLIMIT	BSA	It has been suggested that the National Health Service should be available only to those with lower incomes. This would mean that contributions and taxes could be lower and most people would then take out medical insurance or pay for health care. Do 																																							
NIREFUT	NOP	"Do you think that Northern Ireland should form some sort of union with the Irish Republic, should Northern Ireland become an independent State, or should Northern Ireland remain part of the UK?  "																																							
NIRELAND	BSA	Do you think the long-term policy for Northern Ireland should be for it to remain part of the United Kingdom or to reunify with the rest of Ireland?																																							
NIRETROOP	GALLUP	Which of these statements comes closest to the way you yourself feel about the presence of British troops in Northern Ireland? 1) We should withdraw our troops immediately 2) We should withdraw our troops within 5 years 3) British troops should remain in Northern Ireland until a settlement is reached 4) We should not withdraw our troops																																							
NIRTROOPS	BES	I am going to read out a list of things that some people believe a Government should do. For each of one you can say whether you feel it is…Withdrawing troops from Northern Ireland immediately?																																							
NIRTROOPS	GALLUP	I am going to read out a list of things that some people believe a Government should do. For each of one you can say whether you feel it is…Withdrawing troops from Northern Ireland immediately?																																							
NORTHIRE	GALLUP	"Which one of these statements comes closest to the way you. Yourself, feel about British troops in Northern Ireland? 1) We should begin to withdraw our troops 2) We should carry on with the present number? 3) We should increase the number of troops?"																																							
NOTRUDS2	BES	Please indicate whether you agree or disagree with each of the following statements. There is no need for strong trade unions to protect employees' working conditions and wages																																							
NOTRUDS2	BSA	"Here are a number of opposite statements. For each pair, please tick one box to show which you agree with more. There is no need for strong trade unions to protect employees' working conditions and wages or Employees will never protect their working conditions and wages without strong trade unions."																																							
NOTRUNS	BSA	Please tick one box for each statement to show how much you agree or disagree with it. There is no need for strong trade unions to protect employees' working conditions and wages.																																							
NOTRUNS	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? There is no need for strong trade unions to protect employees working conditions and wages.																																							
NUCLEAR1	BES	There’s a lot of talk these days about nuclear weapons. Which of these three statements comes closest to what you yourself feel should be done? If you don’t have an opinion about this just say so.																																							
NUCLEAR2	ICM	Agree/disagree with statement: Britain is safer having its own nuclear weapons.																																							
NUCLEAR3	MORI	Do you support or oppose the Government adopting the following policy? Get rid of nuclear weapons in Britain even if other countries keep theirs?																																							
NUCLEAR4	GALLUP	It has been suggested that Britain should give up relying on nuclear weapons for defence whatever other countries decide. Do you think this is a good idea or a bad idea?																																							
NUCLEAR5	GALLUP	What policy should Britain follow about nuclear weapons? 1) Continue to make our own nuclear weapons 2) Pull all nuclear weapons with other NATO countries and rely mainly on American production 3) Give up nuclear weapons entirely																																							
NUCLEAR6	NOP	Should Britain give up its nuclear arms even if other countries do not give up theirs?																																							
NUCENER1	GALLUP	"At present, about 10 percent of the total electricity in Great Britain comes from nuclear power. What do you think should be the development of nuclear power generation in this country 1) They should increase nuclear power generation 2) They should not develop any more than at present 3) They should stop generating nuclear power 4) Don't know "																																							
NUCENER2	GALLUP	What do you think should be the development of nuclear power generation in this country 1) They should increase nuclear power generation 2) They should not develop any more than at present 3) They should stop generating nuclear power 4) Don't know 																																							
NUCENER3	GALLUP	What would you do if a nuclear power station were to be built in your area?																																							
NUCPOWER	BES	"And now I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not gone far enough. The building of nuclear power stations."																																							
NUCSAFE	GALLUP	"From what you have read or heard, how safe do you think nuclear power stations are?"																																							
NUCWASTE	GALLUP	"Nuclear power stations produce waste that will remain radio-active for centuries, but this can be buried at sea or deep underground. Do you think that this is a risk worth taking or not?"																																							
NUDSEX	BES	"And now I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not gone far enough. The right to show nudity and sex in films and magazines."																																							
NUDSEX	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: the right to show nudity and sex in films and magazines?"																																							
NUDSEX	BSA	Has it gone too far or not far enough? The right to show nudity and sex in films and magazines.																																							
OBEY	BSA	Please tick one box for each statement to show how much you agree or disagree with it. Schools should teach children to obey authority.																																							
OBEYLAW	BSA	"In general would you say that people should obey the law without exception, or are there exceptional occasions on which people should follow their consciences even if it means breaking the law?"																																							
PAYDISP	GALLUP	"In the pay disputes which have occurred this year, have your symphaties been mainly with the employers or with the workers?"																																							
PCNOSOLC	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. The police should be allowed to question suspects for up to a week without letting them see a solicitor.																																							
PENSIONS	GALLUP	"Do you think the government is spending too much, too little, or about the right amount on: Pensions?"																																							
PICKET	GALLUP	"Do you think that a trade union should be allowed to picket essential services to the general public, such as power stations, in support of their pay claims? "																																							
POORTAX	YOUGOV	"Do you think poor people pay too much in taxes, too little or about the right amount?"																																							
PORNO	BSA	Which of these statements comes closest to your views on the availability of pornographic magazines and films? 1) They should be banned altogether 2) They should be available in special adult shops but not displayed to the public 3) They should be available in special adult shops with public display permitted 4) They should be available in any shop for sale to adult only 5)They should be available in any shop for sale to anyone. 																																							
POSTMAT	EUROB	"If you had to choose, which one of the things on this card would you say is most important? And which would be the next most important?"																																							
POWERIND	GALLUP	"Do you think the balance of power in industry at the moment is tilted too far in the trade unions' direction, too far in management's direction, or is it about right?"																																							
PPLENVIR	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. Ordinary people should do more to protect the environment, even if it means paying higher prices."																																							
PRENTBST	BES	Please indicate whether you agree or disagree with each of the following statements. Private enterprise is the best way to solve Britain's economic problems.																																							
PRENTBST	BSA	Please indicate whether you agree or disagree with each of the following statements. Private enterprise is the best way to solve Britain's economic problems.																																							
PRENTBST	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? Private enterprise is the best way to solve Britain's economic problems.																																							
PRENTBST2	BEPS	Please indicate whether you agree or disagree with each of the following statements. Private enterprise is the best way to solve Britain's economic problems.																																							
PRENTBST3	BHPS	People have different views about society. I'm going to read out some things people have said about Britain today and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. Private enterprise is the best way to solve Britain's economic problems.																																							
PRISNMOR	BSA	Now a few questions about crime. Here are some possible ways of helping to prevent crime in Britain. How effective do you think each one is? Sending more people to prison.																																							
PRIVBUSIN	WVS	"Now I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between. Private ownership of business should be increased OR Government ownership of business should be increased."																																							
PRIVEDUC	BES	"Please use this card to say whether you think the government should or should not do the following things, or doesn't it matter either way? Get rid of private education in Britain."																																							
PRIVELECT	GALLUP	Do you think that the new privately owned electricity body would give a better service to electricity users than the present electricity boards?																																							
PRIVFAR	BES	"And now I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not gone far enough. Privatisation of industries."																																							
PRIVINS	BHPS	Would you tell me which answer off the card comes closest to how you feel about the following statement: People who can afford it should have to take out private health insurance rather than use the National Health Service																																							
PRIVSCH	BSA	"Generally speaking, what is your opinion about private or independent schools in Britain? Should there be more private schools, about the same number as now, less private schools, or not private schools at all?"																																							
PRMEDNHS	BSA	"Now thinking of private medical treatment in hospitals. Do you think that the existence of private medical treatment in National Health Service hospitals is a good or bad thing for the National Health Service, or doesn't it make any difference to the NHS?"																																							
PRMEDPRV	BSA	"Do you think the existence of private medical treatment in private hospitals is a good or a bad thing for the National Health Service, or doesn't it make any difference to the NHS? "																																							
PROTENVB	BSA	"If you had to choose, which one of the following would be closest to your views? Government should let businesses decide for themselves how to protect the environment, even if it means they don't always do the right thing OR Government should pass laws to make businesses protect the environment, even if it interferes with business' rights to make their own decisions. "																																							
PROTENVP	BSA	"If you had to choose, which one of the following would be closest to your views? Government should let ordinary people decide for themselves how to protect the environment, even if it means they don't always do the right thing OR Government should pass laws to make ordinary people protect the environment, even if it interferes with people's rights to make their own decisions. "																																							
PROTEST1	BSA	There are many ways people or organisations can protest against a government action they strongly oppose. Please show which you think should be allowed and which should not be allowed by ticking a box on each line. Should it be allowed? Organising public meetings to protest against the government.																																							
PROTEST3	BSA	There are many ways people or organisations can protest against a government action they strongly oppose. Please show which you think should be allowed and which should not be allowed by ticking a box on each line. Organising protest marches and demonstrations.																																							
PROTEST6	BSA	There are many ways people or organisations can protest against a government action they strongly oppose. Please show which you think should be allowed and which should not be allowed by ticking a box on each line. Should it be allowed? Organising a nationwide strike of all workers against the government.																																							
PROTLEAF	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. People should be allowed to publish leaflets to protest against the government.																																							
PROTMEET	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. People should be allowed to organise public meetings to protest against the government.																																							
PROUDWLF	BSA	Please tick one box for each statement to show how much you agree or disagree with it. The creation of the welfare state is one of Britain's proudest achievements.																																							
PUBOWNST	BES	Please tick one box for each statement below to show how much you agree or disagree with it. Major public services and industries ought to be in state ownership.																																							
PUBOWNST	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Major public services and industries ought to be in state ownership.																																							
PUBOWNST	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? Major public services and industries ought to be in public ownership.																																							
PUBOWNST2	BEPS	Please tick one box for each statement below to show how much you agree or disagree with it. g. Major public services and industries ought to be in state ownership																																							
PUBOWNST3	BHPS	People have different views about society. I'm going to read out some things people have said about Britain today and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. Major public services and industries ought to be in state ownership																																							
PUBSERV	ICM	Some people say the government is placing too much emphasis on using private companies to provide public services. Do you agree or disagree?																																							
RACECR	GALLUP	"There has been a great deal of concern in this country over the increase in crime and violence. Here is a list of possible causes. Obviously some are more important than others. I would like you to go down the list and say for each one whether you think it a very important cause of crime and violence, fairly important or of little importance...Conflict between whites and blacks "																																							
RACEEQU	BES	Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. For each of these changes you can say whether it has...How do you feel about recent attempts to ensure equality for coloured people in Britain?																																							
RACEEQU	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: recent attempts to ensure equality for coloured people in Britain?"																																							
RACEEQU2	BES	"And now I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not far enough: Attempts to give equal opportunities to black people and Asians in Britain?"																																							
RACEEQU2	BSA	Has it gone too far or not far enough? Attempts to give equal opportunities to black people and Asians in Britain.																																							
RACELAW	BSA	"There is a law in Britain against racial discrimination, that is against giving unfair preference to a particular race in housing, jobs and so on. Do you generally support or oppose the idea of a law for this purpose?"																																							
RACEREL	GALLUP	"What are your own feelings towards coloured people -more favourable, less favourable or the same?"																																							
RACOP2FR	BES	Has it gone too far or not gone far enough? Attempts to give equal opportunities to black people and Asians in Britain?																																							
REDISTRB	BES	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. Income and wealth should be redistributed towards ordinary working people?"																																							
REDISTRB	BSA	Government should redistribute income from the better-off to those who are less well off																																							
REDISTRB2	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Redistributing income and wealth in favour of ordinary working people. "																																							
REDISTRB2	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Redistributing income and wealth in favour of ordinary working people. "																																							
REDMILIT	BES	Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. For each of these changes you can say whether you feel it has gone to far or not far enough. How do you feel about: The reduction of Britain’s military strength?																																							
REDMILIT	GALLUP	Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. For each of these changes you can say whether you feel it has gone to far or not far enough. How do you feel about: The reduction of Britain’s military strength?																																							
REDUCPOV	BSA	Now a few questions about crime. Here are some possible ways of helping to prevent crime in Britain. How effective do you think each one is? Reducing poverty																																							
RESPAUTH	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: people showing less respect for authority?"																																							
RICHLAW	BES	Please indicate whether you agree or disagree with each of the following statements. There is one law for the rich and one for the poor.																																							
RICHLAW	BSA	Please tick one box for each statement to show how much you agree or disagree with it. There is one law for the rich and one for the poor.																																							
RICHLAW2	ICM	Please tick one box for each statement below to show how much you agree or disagree with it. There is one law for the rich and one for the poor.																																							
RICHLAW2	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? There is one law for the rich and one for the poor.																																							
RICHLAW3	BHPS	People have different views about society. I'm going to read out some things people have said about Britain today and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. There is one law for the rich and one for the poor.																																							
RICHTAX	YOUGOV	"Do you think rich people pay too much in taxes, too little or about the right amount?"																																							
RIDPOVTY	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Spending more money to get rid of poverty in Britain. "																																							
RIDPOVTY	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Spending more money to get rid of poverty in Britain. "																																							
RIDPOVTY	BES	"Please use this card to say whether you think the government should or should not do the following things, or doesn’t it matter either way? Spend more money to get rid of poverty?"																																							
RINCEQ	BES	Please look at this page. Some people feel that government should make much greater efforts to make people's incomes more equal . These people would put themselves in Box A. Other people feel that government should be much less concerned about how eq ... 																																							
ROADS	GALLUP	"Do you think the government is spending too much, too little, or about the right amount on: Roads?"																																							
ROYAL	BES	"How important do you yourself feel the Queen and Royal Family are to Britain- very important, fairly important, or not very important? "																																							
ROYAL2	ICM	Do you think that Britain would be better off or worse off without a Royal Family?																																							
RPRNAT	BES	Some people feel that government should nationalise many more private companies. These people would put themselves in Box A. Other people feel that government should sell off many more nationalised industries. These people would put themselves in Box ... 																																							
RTXSPD	BES	Some people feel that government should put up taxes a lot and spend much more on health and social services . These people would put themselves in Box A . Other people feel that government should cut taxes a lot and spend much less on health and soc ... 																																							
RTXSPDP	BEPS	Some people feel that government should put up taxes a lot and spend much more on health and social services . These people would put themselves in Box A . Other people feel that government should cut taxes a lot and spend much less on health and soc ... 																																							
RTXSPD2	BES	"Using the 0 to 10 scale on this card, where the end marked 0 means that government should cut taxes and spend much less on health and social services, and the end marked 10 means that government should raise taxes a lot and spend much more on health and social services, where would you place yourself on this scale?"																																							
RULEFOLL	ESS	"Now I will briefly describe some people. Please listen to each description and tell me how much each person is or is not like you. Use this card for your answer. She/he believes that people should do what they're told. She/he thinks people should follow rules at all times, even when no-one is watching."																																							
SAMEEDUC	BSA	Should the quality of education be the same for all children or should parents who can afford it be able to pay for better education?																																							
SAMEHLTH	BSA	"Do you think that the health care should be the same for everyone, or should people who can afford it be able to pay for better health care?"																																							
SAVFRRET	BSA	"I will now read out a list of statements. For each one, please tell me, from this card, how much you agree or disagree. The government should encourage people to provide something for their own retirement instead of relying only on the state pension. "																																							
SCOBEYLW	BSA	"In general, would you say that people should obey the law without exception, or are there exceptional occasions on which people should follow their consciences even if it means breaking the law?"																																							
SEXLAW	BSA	"There is a law in Britain against sex discrimination, that is against giving unfair preference to men - or to women -in jobs, housing and so on. Do you generally support or oppose the idea of a law for this purpose?"																																							
SOCBENEF	BES	Now we would like to ask what you think about social services and benefits. Which of these statements do you feel comes closest to your own views? 1) Social services and benefits have gone much too far and should be cut back a lot 2) Social services and benefits have gone somewhat too far and should be cut back a bit 3) Social services and benefits should stay much as they are 4) More social services and benefits are needed.																																							
SOCHELP	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Many people who get social security don't really deserve any help.																																							
SOCPLAN	ICM	Agree/disagree with statement: More socialist planning would be the best way to solve Britain's economic problems.																																							
SOCSPND	BES	Do you think that the Government should spend more on pensions and social services or do you feel that spending for social services should stay about as it is now?																																							
SOCSPND1	BSA	"Some people think that there should be more government spending on social security, while other people disagree. For each of the groups I read out please say whether you would like to see more or less government spending on them than now. Unemployed people."																																							
SOCSPND2	BSA	Would you like to see more or less government spending than now? Benefits for disabled people who cannot work.																																							
SOCSPND3	BSA	Would you like to see more or less government spending than now? Benefits for parents who work on very low incomes.																																							
SOCSPND4	BSA	Would you like to see more or less government spending than now? Benefits for single parents.																																							
SOCSPND5	BSA	Would you like to see more or less government spending than now? Benefits for retired people.																																							
SOCSPND6	BSA	Would you like to see more or less government spending than now? Benefits for people who care for those who are sick or disabled.																																							
SOLDOFF	ICM	Agree/disagree with statement: Profitable state industries should be sold off and run as private companies.																																							
STATEOWN	BSA	"On the whole would you like to see more or less state ownership of industry, or about the same amount as now?"																																							
STIFRSNT	BSA	Now a few questions about crime. Here are some possible ways of helping to prevent crime in Britain. How effective do you think each one is? Stiffer sentences generally.																																							
STIFSENT	BES	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. People who break the law should be given stiffer sentences."																																							
STIFSENT	BSA	Please tick one box for each statement to show how much you agree or disagree with it. People who break the law should be given stiffer sentences.																																							
STIFSENT	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving stiffer sentences to people than break the law. "																																							
STIFSENT	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving stiffer sentences to people than break the law. "																																							
STIFSENTP	BEPS	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. People who break the law should be given stiffer sentences."																																							
STIFSENT2	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. People who break the law should be given longer prison sentences.																																							
STRIKES1	GALLUP	Which of these arguments do you support? The right to strike is one of the essential freedoms of workers in a democracy.																																							
STRIKES2	GALLUP	"When a trade union calls a strike, do you think that strikers should or should not receive social security payments for their families?"																																							
STRIKES3	GALLUP	"When a trade union calls a strike, do you think that strikers should or should not receive social security payments for themselves?"																																							
STRIKES4	BES	When you hear of a strike are your sympathies generally for or against the strikers?																																							
STRIKES5	GALLUP	Do you agree or disagree with the legal principle that anyone who feels his interests have been hurt by a strike should be able to to take legal action against the trade unions for damages?																																							
STRIKLIM	GALLUP	"Would you approve or disapprove if a law were passed that made it illegal for workers to come out on unofficial strike, that is, to strike without the support of their union?"																																							
STRONGTU	BHPS	Which answer of the card comes closest to how you feel about the following statement? Strong trade unions are needed to protect the working conditions and wages of employees.																																							
TAXBETTER	ICM	Agree/disagree with statement: It is better to pay higher taxes and have better public services than lower taxes and worse public services.																																							
TAXME	YOUGOV	"Would you support or oppose a policy which required you personally to pay higher taxes in order to increase spending on public services, such as health, education and welfare?"																																							
TAXPROP	GALLUP	"It has been said that anyone owning 20,000 pounds in the way of house, furniture, car, income, etc. should pay a special tax. Do you approve or disapprove of this proposal? "																																							
TAXSPEND	BSA	"Suppose the government had to choose between the three options on this card. Which do you think it should choose? 1) Reduce taxes and spend less on health, education and social benefits 2) Keep taxes and spending on these services at the same level as now 3) Increase taxes and spend more on health, education and social benefits"																																							
TAXSPND1	GALLUP	"People have different views about whether it is more important to reduce taxes or keep up government spending. How about you? Which of these statements comes closest to your own view? 1) Taxes being cut, even if it means some reduction in government services such as health, education, and welfare 2) Things should be left as they are 3) Government services such as helath, education, and welfare should be extended even if it means some increases in taxes.  "																																							
TAXSPND1	MORI	"People have different views about whether it is more important to reduce taxes or keep up government spending. How about you? Which of these statements comes closest to your own view? 1) Taxes should be cut, even if it means some reduction in government services such as health, education, and welfare 2) Things should be left as they are 3) Government services such as helath, education, and welfare should be extended even if it means some increases in taxes.  "																																							
TAXSPND2	YOUGOV	"People have different views about whether it is more important to reduce taxes or keep up government spending. Which of these statements comes closest to your own view? 1) Taxes should be cut, even if it means some reduction in government services such as health, education and welfare 2) Things should be left as they are 3) Government services such as health, education and welfare Should be extended, even if it means some increase in taxes"																																							
TAXSPND3	BES	"If the Government had a choice between reducing taxes and spending more on the social services, which should it do?"																																							
TAXSPND4	GALLUP	"If the Government were to cut expenditure on arms, what should they do with the money they save, assuming that they could only do one of the things given on the card: Spend more on public services versus reduce taxes. "																																							
TOLERANT	BES	Please tick one box for each statement below to show how much you agree or disagree with it. People in Britain should be more tolerant of those who lead unconventional lives.																																							
TOLERANT	BSA	Please tick one box for each statement below to show how much you agree or disagree with it People in Britain should be more tolerant of those who lead unconventional lives.																																							
TOOMUCH	YOUGOV	"Taking all forms of taxation into account, do you think you personally pay too much in taxes every year, or too little or about the right amount?"																																							
TRADVALS	BSA	Please tick one box for each statement to show how much you agree or disagree with it. Young people today don't have enough respect for traditional British values.																																							
